time,open,high,low,close
2021-10-17,60874.1125,61705.8575,58928.515,61532.1675
2021-10-18,61527.5475,62679.65,59903.1625,62048.745
2021-10-19,62026.64,64481.03,61328.75,64278.115
2021-10-20,64292.1875,66993.3475,63535.7525,66023.1025
2021-10-21,66029.0125,66639.39,61079.5525,62210.005
2021-10-22,62204.89,63752.7,60018.55,60693.4425
2021-10-23,60689.78,61732.385,59635.78,61316.555
2021-10-24,61301.285,61480.9075,59521.5,60875.2975
2021-10-25,60862.755,63709.4975,60661.435,63087.895
2021-10-26,63089.0325,63286.655,59835.3175,60319.11
2021-10-27,60333.04,61488.4125,58110.1525,58473.77
2021-10-28,58482.7425,62500.085,57394.72,60600.135
2021-10-29,60601.56,62963.235,60187.07,62279.4025
2021-10-30,62274.69,62373.345,60705.6625,61899.5925
2021-10-31,61898.1475,62418.335,60013,61357.63
2021-11-01,61359.0625,62494.6125,59484.82,60947.0975
2021-11-02,60951.91,64307.2575,60677.65,63266.1025
2021-11-03,63269.015,63558.8625,60252.19,62937.0925
2021-11-04,62937.955,63128.465,60731.9825,61450.845
2021-11-05,61443.3825,62635.55,60788.3675,61016.1575
2021-11-06,61008.6225,61598.2975,60121.1775,61543.7625
2021-11-07,61539.35,63317.4725,61401.5775,63312.7675
2021-11-08,63313.0675,67789.05,63313.0675,67556.4625
2021-11-09,67551.1575,68535.8725,66272.5675,66947.1225
2021-11-10,66943.36,68997.75,62821.195,64936.2625
2021-11-11,64929.27,65605.49,64129.965,64822.07
2021-11-12,64805.79,65481.26,62523.145,64153.33
2021-11-13,64147.49,64980.565,63404.97,64406.96
2021-11-14,64403.79,65502.525,63607.715,65502.47
2021-11-15,65502.4725,66354.41,63376.5025,63617.4125
2021-11-16,63617.945,63620.4875,58611.3,60127.2875
2021-11-17,60114.9425,60847.7525,58456.2,60362.0725
2021-11-18,60364.3125,60969.26,56741.615,57052.64
2021-11-19,57040.3,58374.35,55900.045,58118.075
2021-11-20,58120.4275,59837.19,57431.21,59730.88
2021-11-21,59741.15,60068.09,58587.32,58666.18
2021-11-22,58669.22,59346.71,55650.79,56306.57
2021-11-23,56298.13,57878.93,55440.85,57573.43
2021-11-24,57571.15,57708.19,55894.41,57180.33
2021-11-25,57167.12,59442.02,57052.13,58971.93
2021-11-26,58983.15,59197.68,53539.26,53786.51
